,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
1802,0.0028906,3005.0,0.41264559068219636,3.188291889402519e+16,0.06686238941366701
1803,0.0068479,3010.0,0.4119601328903654,7.59090477683972e+16,0.06686830036114266
1804,0.0055551,3015.0,0.41127694859038144,6.188572423174204e+16,0.06687583149913069
1805,0.00063369,3020.0,0.4105960264900662,7094704797053850.0,0.06687958912301989
1806,0.0075031,3025.0,0.4099173553719008,8.44215883005323e+16,0.06688455788021724
1807,0.0060753,3030.0,0.40924092409240925,6.86961282855993e+16,0.0668928437692527
1808,0.0024986,3035.0,0.4085667215815486,2.839288143554687e+16,0.06689808038158317
1809,0.0020242,3040.0,0.40789473684210525,2.3115900603537984e+16,0.06690084943082138
1810,0.004209,3045.0,0.4072249589490969,4.830337358957345e+16,0.06690467623490053
1811,0.0010321,3050.0,0.4065573770491803,1.190304137230912e+16,0.06690789165193152
1812,0.00028947,3055.0,0.40589198036006546,3354855753821398.0,0.06690870385626996
1813,0.0063012,3060.0,0.40522875816993464,7.338785442377731e+16,0.0669127756537356
1814,0.0029113,3065.0,0.40456769983686786,3.4073366447004464e+16,0.06691845870457866
1815,0.0017492,3070.0,0.40390879478827363,2.0572697586986216e+16,0.06692133922997688
1816,0.0060221,3075.0,0.4032520325203252,7.1173769952335416e+16,0.06692615967942467
1817,0.0036224,3080.0,0.4025974025974026,4.302146563995838e+16,0.06693214012888658
1818,0.0017671,3085.0,0.4019448946515397,2.1089354106150612e+16,0.06693548675443059
1819,0.0023805,3090.0,0.40129449838187703,2.854830126272275e+16,0.06693806948610154
1820,0.0006551,3095.0,0.40064620355411956,7894528674501861.0,0.0669399595419541
1821,0.004401,3100.0,0.4,5.329335937499999e+16,0.06694312272841224
1822,0.00092155,3105.0,0.3993558776167472,1.1213478740435076e+16,0.06694644675227647
1823,0.00084569,3110.0,0.3987138263665595,1.0340201675659304e+16,0.06694755383767306
1824,0.0022677,3115.0,0.39807383627608345,2.7860980741389796e+16,0.06694950970792837
1825,0.0098197,3120.0,0.3974358974358974,1.2122680214360045e+17,0.06695711841891233
1826,0.0030289,3125.0,0.3968,3.757263445581283e+16,0.06696519683127677
1827,0.0057614,3130.0,0.3961661341853035,7.181211008056387e+16,0.06697074365129366
1828,0.011446,3135.0,0.39553429027113235,1.4335175826054002e+17,0.06698161964975452
1829,0.0033241,3140.0,0.39490445859872614,4.183113723107439e+16,0.066990950373976
1830,0.0032517,3145.0,0.3942766295707472,4.11158305339541e+16,0.06699511649510766
1831,0.0066744,3150.0,0.39365079365079364,8.479700999122008e+16,0.06700142055737837
1832,0.0056366,3155.0,0.393026941362916,7.19535049870029e+16,0.06700924369076999
1833,0.009232,3160.0,0.3924050632911392,1.1841144765868888e+17,0.0670187143939448
1834,0.014017,3165.0,0.39178515007898895,1.8063955862266067e+17,0.06703354524753685
1835,0.012516,3170.0,0.3911671924290221,1.6206154994309312e+17,0.06705048722927208
1836,0.0092301999999999,3175.0,0.3905511811023622,1.2008228610257944e+17,0.06706439153317219
1837,0.010621,3180.0,0.389937106918239,1.388300294582466e+17,0.0670771108426872
